topic,language,support,median_log1p_stars,included,minimum_support
python,Python,4558,6.1115,True,100
python,JavaScript,149,6.045,True,100
python,Missing,209,6.3404,True,100
python,Java,57,,False,100
python,TypeScript,51,,False,100
python,C++,194,6.2196,True,100
python,Go,37,,False,100
python,C,75,,False,100
javascript,Python,87,,False,100
javascript,JavaScript,2634,6.2804,True,100
javascript,Missing,258,6.386,True,100
javascript,Java,84,,False,100
javascript,TypeScript,904,6.3978,True,100
javascript,C++,48,,False,100
javascript,Go,36,,False,100
javascript,C,28,,False,100
hacktoberfest,Python,558,6.3314,True,100
hacktoberfest,JavaScript,572,6.3297,True,100
hacktoberfest,Missing,182,6.2265,True,100
hacktoberfest,Java,235,6.2634,True,100
hacktoberfest,TypeScript,525,6.3351,True,100
hacktoberfest,C++,151,6.525,True,100
hacktoberfest,Go,341,6.5848,True,100
hacktoberfest,C,103,6.5425,True,100
android,Python,85,,False,100
android,JavaScript,169,6.2766,True,100
android,Missing,153,6.286,True,100
android,Java,1533,6.2748,True,100
android,TypeScript,115,6.1291,True,100
android,C++,112,6.3344,True,100
android,Go,22,,False,100
android,C,92,,False,100
react,Python,27,,False,100
react,JavaScript,1519,6.1159,True,100
react,Missing,116,6.4167,True,100
react,Java,38,,False,100
react,TypeScript,1304,6.3099,True,100
react,C++,5,,False,100
react,Go,32,,False,100
react,C,1,,False,100
deep-learning,Python,1623,6.0234,True,100
deep-learning,JavaScript,43,,False,100
deep-learning,Missing,303,6.375,True,100
deep-learning,Java,17,,False,100
deep-learning,TypeScript,11,,False,100
deep-learning,C++,116,6.4769,True,100
deep-learning,Go,12,,False,100
deep-learning,C,16,,False,100
java,Python,33,,False,100
java,JavaScript,79,,False,100
java,Missing,163,6.3953,True,100
java,Java,1884,6.1913,True,100
java,TypeScript,22,,False,100
java,C++,50,,False,100
java,Go,15,,False,100
java,C,22,,False,100
golang,Python,21,,False,100
golang,JavaScript,54,,False,100
golang,Missing,63,,False,100
golang,Java,18,,False,100
golang,TypeScript,41,,False,100
golang,C++,16,,False,100
golang,Go,2228,6.2285,True,100
golang,C,24,,False,100
machine-learning,Python,1117,6.1821,True,100
machine-learning,JavaScript,74,,False,100
machine-learning,Missing,287,6.4846,True,100
machine-learning,Java,49,,False,100
machine-learning,TypeScript,36,,False,100
machine-learning,C++,108,6.502,True,100
machine-learning,Go,33,,False,100
machine-learning,C,23,,False,100
typescript,Python,15,,False,100
typescript,JavaScript,212,6.0637,True,100
typescript,Missing,57,,False,100
typescript,Java,22,,False,100
typescript,TypeScript,1742,6.1463,True,100
typescript,C++,13,,False,100
typescript,Go,19,,False,100
typescript,C,4,,False,100
__AUDIT__,all,150520,,True,100
