candidate,dimension,segment,row_count,rmsle,median_absolute_log_error
M0,target_band,100–999,23982,0.6347409381560482,0.5466375574082294
M0,target_band,"1,000–9,999",5660,1.5708573856247798,1.3121273189620002
M0,target_band,"10,000+",462,3.6238567223053684,3.432720133529677
M0,proxy_age_band,≤2y,2668,0.9307048171491509,0.6631327628801849
M0,proxy_age_band,2–5y,8212,0.9092083723987007,0.6592791935641946
M0,proxy_age_band,5–10y,14875,1.0201500090942504,0.6786972794212964
M0,proxy_age_band,10y+,4349,1.0845900952185104,0.6945078854479387
M0,description_status,missing,1148,0.7611357106627527,0.6708847396845021
M0,description_status,present,28956,1.0012925258653627,0.6747833801001599
M0,language_support,common,29336,0.9963244150402424,0.6747833801001599
M0,language_support,rare-or-unseen,768,0.8654439314953514,0.6516163208186256
M1,target_band,100–999,23982,0.6440612894635835,0.5052467890350072
M1,target_band,"1,000–9,999",5660,1.4533159739491184,1.2378436843940284
M1,target_band,"10,000+",462,3.244300409728039,3.1363573872178696
M1,proxy_age_band,≤2y,2668,0.916259979063736,0.5083496088635053
M1,proxy_age_band,2–5y,8212,0.8722536849311017,0.5806997846362005
M1,proxy_age_band,5–10y,14875,0.9659215918200272,0.6369201743091395
M1,proxy_age_band,10y+,4349,1.0057646059576373,0.6688923820614301
M1,description_status,missing,1148,0.6927540268856152,0.46084727130536596
M1,description_status,present,28956,0.9514853451103165,0.6211686488891748
M1,language_support,common,29336,0.9457729111857769,0.6157877783699934
M1,language_support,rare-or-unseen,768,0.8266821195405473,0.48374322065849196
M2,target_band,100–999,23982,0.46494681923338904,0.2990548863849165
M2,target_band,"1,000–9,999",5660,0.7295407502434548,0.5171127300521716
M2,target_band,"10,000+",462,0.6818953608879538,0.4748587986547932
M2,proxy_age_band,≤2y,2668,0.5215598886713396,0.319674387538992
M2,proxy_age_band,2–5y,8212,0.5339311483000165,0.3263870599371428
M2,proxy_age_band,5–10y,14875,0.5316713243397169,0.3353243344795631
M2,proxy_age_band,10y+,4349,0.5119681785084024,0.31849466694614215
M2,description_status,missing,1148,0.49548175147264906,0.30747635928800854
M2,description_status,present,28956,0.5298692232399957,0.3302265704111633
M2,language_support,common,29336,0.5279245648242608,0.3283703055427578
M2,language_support,rare-or-unseen,768,0.5537428342717826,0.3595295950175421
M2,archived_status,archived,1933,0.5280976479616467,0.32736068820670283
M2,archived_status,not-archived,28171,0.5286332816625835,0.32967387600994247
